,name,pop,lat,lon
0,"Агаповский район, Челябинская область",34779,53.3315457,59.4199412004
1,"Аргаяшский район, Челябинская область",41387,55.42527775,60.7818315107
2,"Ашинский район, Челябинская область",64779,54.9949263,57.6052173864
3,"Брединский район, Челябинская область",28498,52.37328735,60.6019796755
4,"Чебаркуль, Челябинская область",42844,54.9777947,60.3700914
5,"Чебаркульский район, Челябинская область",29606,54.83802855,60.4948435045
6,"Челябинск, Челябинская область",1130132,55.1598408,61.4025547
7,"Чесменский район, Челябинская область",20185,53.6741157,60.4523869294
8,"Еманжелинский район, Челябинская область",53004,54.75771935,61.3473520573
9,"Еткульский район, Челябинская область",30697,54.75771935,61.7220425408
10,"Южноуральский городской округ, Челябинская область",38030,54.438301,61.2474521237
11,"Карабашский городской округ, Челябинская область",13424,55.5138794,60.2320696265
12,"Карталинский район, Челябинская область",49387,53.07132895,60.3832007564
13,"Каслинский район, Челябинская область",34712,56.01728585,61.2401714861
14,"Катав-Ивановский район, Челябинская область",33111,54.6937734,58.1968710907
15,"Кизильский район, Челябинская область",25876,52.69880815,59.3691815356
16,"Копейский городской округ, Челябинская область",139756,55.0713219,61.5717704411
17,"Коркинский район, Челябинская область",63863,54.9073525,61.4130111353
18,"Красноармейский район, Челябинская область",41710,55.4518118,62.1365555704
19,"Кунашакский район, Челябинская область",30112,55.84583995,61.5051096106
20,"Кусинский район, Челябинская область",29392,55.4164936,59.545103798
21,"Кыштымский городской округ, Челябинская область",41791,55.723192,60.3671048259
22,"Локомотивный, Челябинская область",8498,53.042559,60.6145172
23,"Магнитогорск, Челябинская область",407775,53.4242807,58.9833331
24,"Миасский городской округ, Челябинская область",166452,55.09957385,60.0236397068
25,"Нагайбакский район, Челябинская область",20927,53.56018375,59.8053550406
26,"Нязепетровский район, Челябинская область",18261,55.9669707,59.5639355323
27,"Октябрьский район, Челябинская область",21097,54.3218738,62.6887515822
28,"Озерский городской округ, Челябинская область",93044,55.7640585,60.7151792
29,"Пластовский район, Челябинская область",26000,54.2375097,60.5528574569
30,"Саткинский район, Челябинская область",86176,54.9620046,59.0029667794
31,"Снежинский городской округ, Челябинская область",49186,56.12962465,60.6221714285
32,"Сосновский район, Челябинская область",60941,55.24541535,61.1216606041
33,"Трёхгорный, Челябинская область",33670,54.8182573,58.459281
34,"Троицк, Челябинская область",78372,54.0845473,61.5519921
35,"Троицкий район, Челябинская область",28059,54.1658502,61.5086242326
36,"Уйский район, Челябинская область",26184,54.3670529,60.0891575579
37,"Усть-Катавский городской округ, Челябинская область",26917,55.0034915,58.2822707883
38,"Увельский район, Челябинская область",31867,54.49526365,61.6964236248
39,"Варненский район, Челябинская область",27357,53.333922,60.8697756869
40,"Верхнеуральский район, Челябинская область",36198,53.85123705,59.1954370398
41,"Верхнеуфалейский городской округ, Челябинская область",35006,55.9906827,60.2027008086
42,"Златоустовский городской округ, Челябинская область",177155,55.03017055,59.5252522844
43,"Альменевский район, Курганская область",12412,54.8849174,63.4018753701
44,"Белозерский район, Курганская область",16934,55.9328849,65.4484424183
45,"Частоозерский район, Курганская область",5924,55.5341023,67.9146654612
46,"Целинный район, Курганская область",17187,54.48975195,63.6812165002
47,"Далматовский район, Курганская область",29476,56.1670692,62.9498655357
48,"Юргамышский район, Курганская область",20886,55.37680975,64.5521634591
49,"Каргапольский район, Курганская область",31832,55.90355345,64.5090237273
50,"Катайский район, Курганская область",23991,56.1670781,62.3838508159
51,"Кетовский район, Курганская область",55427,55.413523,64.9806919803
52,"Курган, Курганская область",333606,55.4543487,65.3218732
53,"Куртамышский район, Курганская область",32155,54.73834615,64.5153579902
54,"Лебяжьевский район, Курганская область",16557,55.25844455,66.5043943694
55,"Макушинский район, Курганская область",18116,55.16304365,67.1959576648
56,"Мишкинский район, Курганская область",17684,55.4062025,63.7982124349
57,"Мокроусовский район, Курганская область",13115,55.76317035,66.8133672497
58,"Петуховский район, Курганская область",20493,55.1301685,67.8825975052
59,"Половинский район, Курганская область",12255,54.86868955,66.1104611894
60,"Притобольный район, Курганская область",14592,54.8785076,65.2930221782
61,"Шадринск, Курганская область",77756,56.0873643,63.6294827
62,"Шадринский район, Курганская область",27360,56.11403595,64.100875417
63,"Сафакулевский район, Курганская область",13120,54.8869134,62.4487290703
64,"Шатровский район, Курганская область",18446,56.450074,64.7230441665
65,"Щучанский район, Курганская область",23547,55.41714055,62.6296593261
66,"Шумихинский район, Курганская область",28499,55.39273735,63.1727362039
67,"Варгашинский район, Курганская область",19919,55.5458206,65.9977469498
68,"Звериноголовский район, Курганская область",9518,54.51811615,64.899631623
69,"Ачитский городской округ, Свердловская область",16807,56.822976,58.1224921961
70,"Муниципальное образование Алапаевское, Свердловская область",26542,57.85,61.6978113
71,"Алапаевск, Свердловская область",44455,57.8508091,61.6949982
72,"Арамильский городской округ, Свердловская область",17446,56.69052805,60.8698975233
73,"Артёмовский городской округ, Свердловская область",60230,57.3998447,61.966666218
74,"Артинский городской округ, Свердловская область",29624,56.37330585,58.4319818932
75,"Асбестовский городской округ, Свердловская область",71315,57.06897745,61.5413405476
76,"Байкаловский район, Свердловская область",16294,57.51699975,63.7685089024
77,"Белоярский городской округ, Свердловская область",34583,56.7002177,61.3503172004
78,"Березовский городской округ, Свердловская область",68772,58.2303578,62.433368
79,"Бисертский городской округ, Свердловская область",10661,56.83701175,59.1039950903
80,"Городской округ Богданович, Свердловская область",47027,56.688677,61.8028678
81,"Дегтярск, Свердловская область",15567,56.698341,60.0868078
82,"Гаринский городской округ, Свердловская область",4904,59.68738485,62.751334642
83,"Горноуральский городской округ, Свердловская область",34905,57.8340731,60.557935984
84,"Ирбит, Свердловская область",38357,57.6740399,63.0637777
85,"Ирбитское муниципальное образование, Свердловская область",30331,57.5857934,62.6595672878
86,"Ивдельский городской округ, Свердловская область",24519,61.0098155,60.5367694077
87,"Екатеринбург, Свердловская область",1383179,56.8391034,60.6082502
88,"Качканарский городской округ, Свердловская область",43679,58.6855725,59.4786482644
89,"Каменский городской округ, Свердловская область",28111,56.40738625,61.4972000366
90,"Каменск-Уральский, Свердловская область",176572,56.4154498,61.9177966
91,"Камышлов, Свердловская область",26870,56.8461626,62.7121545
92,"Камышловский район, Свердловская область",28162,56.85476765,62.542681589
93,"Карпинск, Свердловская область",31859,59.7629049,60.0123207
94,"Кировградский городской округ, Свердловская область",27726,57.48396805,59.8952566491
95,"Краснотурьинск, Свердловская область",65062,59.764474,60.1935338
96,"Красноуфимск, Свердловская область",40445,56.6045372,57.7713121
97,"Красноуфимский округ, Свердловская область",28077,56.52062755,57.8421033196
98,"Красноуральск, Свердловская область",25541,58.3570651,60.0374448
99,"Кушвинский городской округ, Свердловская область",40796,58.25057875,59.4239736922
100,"Лесной, Свердловская область",52476,58.6364407,59.7896583
101,"Махнёвское муниципальное образование, Свердловская область",7071,58.6376324,62.8150201922
102,"Малышевский городской округ, Свердловская область",11042,57.0980006,61.3892558271
103,"Невьянский городской округ, Свердловская область",42742,57.35056645,60.5178333401
104,"Нижнесергинский район, Свердловская область",44453,56.62611585,59.3959587349
105,"Нижний Тагил, Свердловская область",365433,57.905149,59.9508466
106,"Нижняя Салда, Свердловская область",17939,58.071352,60.7146772
107,"Нижнетуринский городской округ, Свердловская область",28000,58.7831461,59.8053895841
108,"Новолялинский городской округ, Свердловская область",23564,59.22605415,59.8840344552
109,"Новоуральский городской округ, Свердловская область",88308,57.1654062,59.9481386635
110,"Пелым, Свердловская область",4171,60.9162936,62.1401781
111,"Первоуральск, Свердловская область",148896,56.904859,59.9431194
112,"Полевской городской округ, Свердловская область",71220,56.43754005,60.172351421
113,"Пышминский городской округ, Свердловская область",20614,56.86717655,63.1901259209
114,"Рефтинский, Свердловская область",16496,57.0915283,61.6783469
115,"Ревда, Свердловская область",63368,56.8000145,59.9108742
116,"Режевской городской округ, Свердловская область",48435,57.44339945,61.1752534847
117,"Шалинский городской округ, Свердловская область",20762,57.3494856,58.6304719439
